card_id,name,yomi,cost,type,power,effect,lore,set,tag
1,かにもぐら先輩,かにもぐら先輩 / かにもぐらせんぱい,0,地,100,相手のモンスターはこれにしか攻撃できない。攻撃時、相手のデッキの上1枚を捨てる。,[オリカチケット/消耗品]突然変異で手に蟹のはさみがついてしまったもぐらの魔物。仲間からは慕われており親しみを込めて先輩と呼ばれている。,プロモーションカード,#モンスターカード #オリカ
2,彩戦紙インディゴ,彩戦紙インディゴ / くらふとないと いんでぃご,1,"騎士,図工",100,場に出た時、自分の手札から魔法1枚を公開する、自分のデッキか捨て札からそれと同名のカード1枚までを手札に加える。(2) 自分のデッキから「色彩共鳴」1枚までを手札に加える。,アキバ・タワー建設計画。,MCS08-彩衣の衝撃,#モンスターカード
3,篝火の幽霊,篝火の幽霊 / かがりびのゆうれい,1,"火,幽霊",100,場に出た時、自分のデッキから3コスト以下の[火]の魔法1枚までを手札に加える。,地下洞窟の道中に住む幽霊。篝火に擬態し、自らの火で襲ってくる。,CS02-未開地_グループ1,#モンスターカード
4,夢の思念体,夢の思念体 / ゆめのしねんたい,1,"夢,妖精",300,共鳴召喚：[夢]、[妖精]場に出た時、自分のデッキから魔法1枚までを手札に加える。(6) 自分の捨て札から[ヒト]2体までを出す。,死に近い人の元に現れる正体不明の精霊。目で見えない形が本来の姿であり、ヒトの心に住み着くとされる。,RP02-ランダムパスvol2_グループ2,#モンスターカード
5,魔風のハーピー,魔風のハーピー / まふうのはーぴー,1,"闇,ハーピー",100,相手の翼は発動しない。場に出た時、自分の3コスト以上の[ハーピー]が場にいるなら、これを+300。,楽園から追放されたハーピー。彼女たちの持つ掟を破り活動している。,DES03-楽園賛歌_グループ1,#モンスターカード
6,ハンドレッドドラゴン,ハンドレッドドラゴン / はんどれっどどらごん,1,"光,ドラゴン",100,(1) 相手のモンスター全てに100ダメージ、相手に100ダメージ、自分を100回復。,[アカウント登録数100突破記念]とにかく100という数字が大好きな竜。とても長い。翼は無く根性で飛んでいる。,プロモーションカード,#モンスターカード #オリカ
7,火花ゴブリン,火花ゴブリン / ひばなごぶりん,1,"火,ゴブリン",300,自分の[火]のエネルギーが場に無い時使用できず場に出せない。破壊時、相手に300ダメージ。,,STR09-真なる力_グループ2,#モンスターカード
8,ハナバチ,ハナバチ / はなばち,1,虫,100,攻撃されない。自分のターン終了時、これにカウンター1個を乗せる。(2) 自分を(これのカウンターの数×300) 回復、これのカウンターを0個にする。,花の蜜を求めて行動するハチ。集めたものは幼虫や自身のため蓄える。,RP02-ランダムパスvol2_グループ1,#モンスターカード
9,濡女,濡女 / ぬれおんな,1,"水,妖怪",200,自分のターン開始時、相手のデッキの上1枚を捨てる。(これを破壊) 相手の捨て札が10枚以上あるなら、自分の手札かデッキか捨て札から「牛鬼」1体までを出す。,水辺に現れる妖怪。牛鬼の餌を探すためにヒトを騙したり襲うことがある。,RP01-ランダムパスvol1_グループ4,#モンスターカード
10,雷の精霊,雷の精霊 / かみなり の せいれい,1,"雷,妖精",300,場に出た時、相手のモンスター1体をタップする。(1) 相手のタップ中のモンスター1体に300ダメージ。,電気を操る攻撃的な精霊。警戒能力が高いため、他の生物が自分の縄張りを守るために捕獲することもある。,CS04-覚醒地_グループ1,#モンスターカード
